//;family;ldap attribute;freedom attribute;ldap schema;card index
LDAPMAP;USER;audio;;inetOrgPerson;1
LDAPMAP;USER;businessCategory;;inetOrgPerson;1
LDAPMAP;USER;carLicense;;inetOrgPerson;1
LDAPMAP;USER;carLicense;;inetOrgPerson;1
LDAPMAP;USER;cn;T;inetOrgPerson;1
LDAPMAP;USER;departmentNumber;US_SERV;inetOrgPerson;1
LDAPMAP;USER;destinationIndicator;;inetOrgPerson;1
LDAPMAP;USER;displayName;;inetOrgPerson;1
LDAPMAP;USER;dn;::getUserLDAPDN(uid,dc=people);top;1
LDAPMAP;USER;employeeNumber;US_MATRICULE;inetOrgPerson;1
LDAPMAP;USER;employeeType;US_TYPE;inetOrgPerson;1
LDAPMAP;USER;facsimiletelephonenumber;US_FAX;inetOrgPerson;1
LDAPMAP;USER;givenName;US_FNAME;inetOrgPerson;1
LDAPMAP;USER;homePhone;;inetOrgPerson;1
LDAPMAP;USER;homePostalAddress;;inetOrgPerson;1
LDAPMAP;USER;initials;US_INITIALS;inetOrgPerson;1
LDAPMAP;USER;internationaliSDNNumber;;inetOrgPerson;1
LDAPMAP;USER;jpegPhoto;US_PHOTO;inetOrgPerson;1
LDAPMAP;USER;l;US_WORKTOWN;inetOrgPerson;1
LDAPMAP;USER;labeledURI;http://%US_WORKWEB%;inetOrgPerson;1
LDAPMAP;USER;mail;US_MAIL;inetOrgPerson;1
LDAPMAP;USER;manager;;inetOrgPerson;1
LDAPMAP;USER;mobile;US_MOBILE;inetOrgPerson;1
LDAPMAP;USER;o;US_SOCIETY;inetOrgPerson;1
LDAPMAP;USER;ou;;inetOrgPerson;1
LDAPMAP;USER;pager;;inetOrgPerson;1
LDAPMAP;USER;photo;;inetOrgPerson;1
LDAPMAP;USER;physicalDeliveryOfficeName;;inetOrgPerson;1
LDAPMAP;USER;postalAddress;US_WORKADDR;inetOrgPerson;1
LDAPMAP;USER;postalCode;US_WORKPOSTALCODE;inetOrgPerson;1
LDAPMAP;USER;postOfficeBox;;inetOrgPerson;1
LDAPMAP;USER;preferredDeliveryMethod;;inetOrgPerson;1
LDAPMAP;USER;preferredLanguage;;inetOrgPerson;1
LDAPMAP;USER;registeredAddress;;inetOrgPerson;1
LDAPMAP;USER;roomNumber;;inetOrgPerson;1
LDAPMAP;USER;secretary;;inetOrgPerson;1
LDAPMAP;USER;sn;US_LNAME;inetOrgPerson;1
LDAPMAP;USER;st;;inetOrgPerson;1
LDAPMAP;USER;street;;inetOrgPerson;1
LDAPMAP;USER;telephoneNumber;US_PHONE;inetOrgPerson;1
LDAPMAP;USER;telexNumber;;inetOrgPerson;1
LDAPMAP;USER;telexTerminalIdentifier;;inetOrgPerson;1
LDAPMAP;USER;uid;I;inetOrgPerson;1
LDAPMAP;USER;userCertificate;;inetOrgPerson;1
LDAPMAP;USER;userSMIMECertificate;;inetOrgPerson;1
LDAPMAP;USER;x121Address;;inetOrgPerson;1
LDAPMAP;USER;x500uniqueIdentifier;;inetOrgPerson;1
;;;;;
LDAPMAP;IGROUP;cn;::getLDAPTitle();inetOrgPerson;1
LDAPMAP;IGROUP;dn;::getLDAPDN(uid,dc=users);top;1
LDAPMAP;IGROUP;mail;GRP_MAIL;inetOrgPerson;1
LDAPMAP;IGROUP;sn;GRP_NAME;inetOrgPerson;1
LDAPMAP;IGROUP;uid;US_LOGIN;inetOrgPerson;1
;;;;;
LDAPMAP;IGROUP;dn;::getLDAPDN(cn,dc=people);top;2
LDAPMAP;IGROUP;description;GRP_ROLE;groupOfNames;2
LDAPMAP;IGROUP;cn;US_LOGIN;groupOfNames;2
LDAPMAP;IGROUP;member;::getLDAPMember();groupOfNames;2
;;;;;
LDAPMAP;IGROUP;ou;US_LOGIN;organizationalUnit;3
LDAPMAP;IGROUP;dn;::getLDAPDN(ou,dc=people);top;3
;;;;;
;;;;;
LDAPMAP;IUSER;description;US_DESCRIPTION;posixAccount;1
LDAPMAP;IUSER;dn;::getLDAPDN(uid,dc=users);top;1
LDAPMAP;IUSER;gecos;US_GECOS;posixAccount;1
LDAPMAP;IUSER;gidNumber;US_GIDNUMBER;posixAccount;1
LDAPMAP;IUSER;homeDirectory;US_HOMEDIRECTORY;posixAccount;1
LDAPMAP;IUSER;loginShell;US_LOGINSHELL;posixAccount;1
LDAPMAP;IUSER;shadowExpire;US_SHADOWEXPIRE;shadowAccount;1
LDAPMAP;IUSER;shadowFlag;US_SHADOWFLAG;shadowAccount;1
LDAPMAP;IUSER;shadowInactive;US_SHADOWINACTIVE;shadowAccount;1
LDAPMAP;IUSER;shadowLastChange;US_SHADOWLASTCHANGE;shadowAccount;1
LDAPMAP;IUSER;shadowMax;US_SHADOWMAX;shadowAccount;1
LDAPMAP;IUSER;shadowMin;US_SHADOWMIN;shadowAccount;1
LDAPMAP;IUSER;shadowWarning;US_SHADOWWARNING;shadowAccount;1
LDAPMAP;IUSER;uid;US_LOGIN;inetOrgPerson;1
LDAPMAP;IUSER;uidNumber;US_UIDNUMBER;posixAccount;1
LDAPMAP;IUSER;userPassword;US_PASSWD;inetOrgPerson;1
;;;;;
LDAPMAP;IUSER;ou;US_LOGIN;organizationalUnit;2
LDAPMAP;IUSER;dn;::getLDAPDN(ou,dc=people);top;2
